param,train,test,seed,time
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.815563393018629,0.8193490054249548,456,314.49605798721313
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(7.5)}",0.8148399348887683,0.8193490054249548,939,297.7225081920624
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(7.5)}",0.815111231687466,0.8108499095840868,454,303.0340278148651
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(7.5)}",0.8156236811961173,0.8191681735985533,362,302.45425295829773
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(7.5)}",0.814026044492675,0.8247739602169982,861,272.9505820274353
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8140712606257913,0.8146473779385172,595,275.8983917236328
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(3.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8122475432567673,0.822242314647378,270,292.29351568222046
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(7.5)}",0.8157593295954664,0.8142857142857143,619,309.905268907547
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(7.5)}",0.8145535660456985,0.8177215189873418,364,300.23287987709045
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8136492433833724,0.8175406871609403,403,258.46699380874634
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(7.5)}",0.8141014047145355,0.820614828209765,502,256.4820947647095
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(7.5)}",0.8159100500391873,0.81500904159132,54,278.782479763031
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(7.5)}",0.8153674564417916,0.8173598553345389,258,290.3481059074402
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(7.5)}",0.8130162175197443,0.8262206148282097,28,293.34458899497986
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.817085669500211,0.8122965641952984,153,296.38694405555725
