param,train,test,seed,time
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8871424048121822,0.8083757932122796,353,321.8430049419403
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8871008557283098,0.8118716948531337,539,287.87465929985046
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8886781773756247,0.8040213618416001,750,306.7645299434662
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8871995918194567,0.8141856819332991,209,290.7245478630066
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8857750171793206,0.822239711900783,136,256.9800500869751
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8875631941357564,0.8148136738707041,18,259.57161808013916
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8862047116737085,0.8177763616069997,442,289.5330009460449
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8863233501502682,0.8149450549450549,697,294.7473568916321
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8874134598160863,0.8101119994767908,525,289.37515902519226
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8838941310591637,0.8224155915755964,764,253.67286205291748
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.885753200086453,0.8168446538411203,485,249.41207218170166
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.886115795779192,0.8170597237482342,824,290.2552230358124
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8861630783449138,0.817401831406807,594,281.41825675964355
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(5.0)}",0.8887194729377914,0.8056905343328326,745,287.91724610328674
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8854657257897491,0.8164714384544456,51,283.940553188324
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8857785122594429,0.8216574451760928,768,286.33143496513367
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(5.0)}",0.8862896179026177,0.8177679097549513,732,313.75513100624084
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8855138479768931,0.8142945866387894,613,283.80170583724976
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8875855508711946,0.8109495959767192,590,294.4519190788269
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(5.0)}",0.8865183285632505,0.8163706265522926,792,288.2315602302551
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8865238778843938,0.8203940615147661,399,285.9869611263275
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8862536889524821,0.8159036153718672,655,284.14855194091797
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(5.0)}",0.8871675409180099,0.8118075334706737,100,276.9141991138458
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8882344934914282,0.8075635985404592,492,285.5042941570282
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8891203671843577,0.8042234390876091,315,285.09139823913574
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.888390265058971,0.809145324671604,896,285.12606477737427
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8879556757589382,0.8104308084789981,661,286.1648108959198
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8867860992582038,0.8119599666388658,101,284.14649510383606
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8870878874103192,0.8147265731448874,455,282.88976788520813
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.886344932128057,0.8149462402725974,130,235.182147026062
