param,train,test,seed,time
"[1, 7, 7.87141559555314, 0.45996430980828923]",0.8162265629710014,0.816636528028933,915,963.3037030696869
"[1, 8, 7.965217980384161, 0.48492743141742223]",0.8145987821788148,0.8213381555153707,138,1119.2171030044556
"[1, 6, 5.071115628992661, 0.5252876207037757]",0.8174624706095135,0.8110307414104883,237,1044.5751860141754
"[1, 6, 5, 0.6830899324711004]",0.8136793874721167,0.8195298372513562,748,1073.94385099411
"[1.0413192149037809, 8, 8.343146953905899, 0.47191916472529544]",0.8154880327967686,0.8173598553345389,68,1258.4101209640503
"[1.4580000105686644, 7, 7.889978210030333, 0.5771646445420114]",0.815397600530536,0.8142857142857143,150,1283.2850408554077
"[1, 7, 5.166599673079858, 0.4189966931226218]",0.815412672574908,0.8169981916817359,911,1208.6536540985107
"[1, 6, 5.02750985773842, 0.46905742638912234]",0.8150057273768614,0.8162748643761302,621,1319.988805770874
"[1, 8, 5.947646616303177, 0.42752093731186414]",0.8159401941279315,0.8198915009041592,392,1444.4688110351562
"[1.158062148825585, 7, 5, 0.4483357280334029]",0.8162416350153734,0.8128390596745028,625,1202.3913071155548
"[1.6952278953325468, 8, 5, 0.34293157106204175]",0.8170103092783506,0.8075949367088607,963,1158.5305860042572
"[1, 6, 5.959870308197337, 0.8354396200269566]",0.8165581479471875,0.8081374321880651,157,1016.6723420619965
"[1, 5, 7.380206318435926, 0.5275471972738779]",0.8156990414179779,0.8132007233273056,30,2839.554951906204
"[1, 7, 5.514663446701659, 0.4569278577929329]",0.8137547476939772,0.832007233273056,268,1244.4914901256561
"[1, 7, 5, 0.5576330431010852]",0.8158346898173268,0.8137432188065099,436,1207.0681970119476
"[1, 7, 9.459356922332454, 0.612926008934487]",0.8145686380900705,0.8177215189873418,875,1261.7546350955963
"[1, 8, 9.198346622720173, 0.570095624489474]",0.8166033640803039,0.8141048824593128,653,1328.0466809272766
"[1.7716067452721302, 7, 5, 0.5168140140790506]",0.8165882920359318,0.81500904159132,602,1222.0640578269958
"[2.688528767276888, 7, 9.475146718442897, 0.4527441473615248]",0.8156839693736059,0.8124773960216998,797,1158.6208980083466
"[1, 8, 7.37425340682728, 0.3495465154922157]",0.8167088683909086,0.820614828209765,517,1175.127718925476
"[1, 8, 5.0858246236770706, 0.3616724248708302]",0.8150358714656056,0.8216998191681736,932,1149.2299869060516
"[1.2427550193304775, 6, 5, 0.8319820115212065]",0.8164224995478386,0.8130198915009041,85,1182.0211117267609
"[1.0145698446544182, 7, 5, 0.34182977287712146]",0.8156236811961174,0.8139240506329114,874,1051.8360402584076
"[1, 5, 5.332510648291372, 0.5412920732277355]",0.8160607704829084,0.8139240506329114,75,973.307514667511
"[1, 5, 5, 0.6333605448849067]",0.8159703382166756,0.8128390596745028,673,945.5588810443878
"[2.296502565601935, 7, 7.427099629610035, 0.5496042297988689]",0.8154277446192801,0.8182640144665461,822,1164.1892561912537
"[1.0674275632744368, 5, 5, 0.5088461551278174]",0.8161059866160246,0.8155515370705244,299,940.523184299469
"[1, 6, 5.573484025151182, 0.7369100390641501]",0.8177036233194671,0.8141048824593128,405,1112.571702003479
"[1.001392208610637, 8, 5, 0.5110134208879228]",0.8168595888346295,0.8188065099457504,181,1307.2310318946838
"[1, 7, 8.72449548715328, 0.46907244256217634]",0.8163019231928619,0.8113924050632911,211,1190.7562818527222
