param,train,test,seed,time
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(8.333333333333334)}",0.7958825328559317,0.7921779141104295,694,944.5484819412231
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(10.0)}",0.7948490083196074,0.7998464786029553,17,920.3339741230011
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(6.666666666666667)}",0.7974717296092542,0.7871731246421073,429,934.3257956504822
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7977924028298549,0.7875913851017585,923,990.1782829761505
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(8.333333333333334)}",0.792689780130064,0.7986361053229778,726,1082.6914277076721
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7980140630065795,0.7940089476755495,150,971.3168730735779
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7949811879192199,0.7978498752159724,662,1161.1522781848907
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7968230393265101,0.7956656346749226,547,1053.0597758293152
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7934417790225645,0.8047564250095895,532,956.2645881175995
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(6.666666666666667)}",0.7953557344857558,0.7927858787413661,481,936.1682770252228
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.794603761220684,0.7957311364912938,801,922.0777320861816
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(10.0)}",0.7945672062473706,0.7944732297063903,939,2007.4669239521027
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7940739547643864,0.799923925446938,943,1001.4510209560394
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(6.666666666666667)}",0.7952128201017623,0.7940031152647975,542,1061.9991199970245
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.795409703438432,0.7960046100653092,908,1041.2939870357513
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7961922684273168,0.7945310995570961,181,1000.0310399532318
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7973252921411306,0.796504854368932,746,945.9268569946289
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7959739425317749,0.794822256568779,693,1042.3856210708618
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7952688387964854,0.7919332945510956,60,1129.5150780677795
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.7958306486234218,0.7930241471828287,965,1067.6977701187134
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(10.0)}",0.7945478411637291,0.7967169307119679,964,878.6498019695282
